Epoch [3/500], Step [26/45], Loss: 0.8749
Epoch [3/500], Step [27/45], Loss: 0.8748
Epoch [3/500], Step [28/45], Loss: 0.8748
Epoch [3/500], Step [29/45], Loss: 0.8748
Epoch [3/500], Step [30/45], Loss: 0.8747
Epoch [3/500], Step [31/45], Loss: 0.8747
Epoch [3/500], Step [32/45], Loss: 0.8747
Epoch [3/500], Step [33/45], Loss: 0.8747
Epoch [3/500], Step [34/45], Loss: 0.8746
Epoch [3/500], Step [35/45], Loss: 0.8746
Epoch [3/500], Step [36/45], Loss: 0.8746
Epoch [3/500], Step [37/45], Loss: 0.8746
Epoch [3/500], Step [38/45], Loss: 0.8746
Epoch [3/500], Step [39/45], Loss: 0.8745
Epoch [3/500], Step [40/45], Loss: 0.8745
Epoch [3/500], Step [41/45], Loss: 0.8745
Epoch [3/500], Step [42/45], Loss: 0.8744
Epoch [3/500], Step [43/45], Loss: 0.8744
Epoch [3/500], Step [44/45], Loss: 0.8744
Epoch [3/500], Step [45/45], Loss: 0.8744
Epoch [4/500], Step [1/45], Loss: 0.8743
Epoch [4/500], Step [2/45], Loss: 0.8743
Epoch [4/500], Step [3/45], Loss: 0.8743
Epoch [4/500], Step [4/45], Loss: 0.8743
Epoch [4/500], Step [5/45], Loss: 0.8742
Epoch [4/500], Step [6/45], Loss: 0.8742
Epoch [4/500], Step [7/45], Loss: 0.8742
Epoch [4/500], Step [8/45], Loss: 0.8742
Epoch [4/500], Step [9/45], Loss: 0.8741
Epoch [4/500], Step [10/45], Loss: 0.8741
Epoch [4/500], Step [11/45], Loss: 0.8741
Epoch [4/500], Step [12/45], Loss: 0.8741
Epoch [4/500], Step [13/45], Loss: 0.8740
Epoch [4/500], Step [14/45], Loss: 0.8740
Epoch [4/500], Step [15/45], Loss: 0.8740
Epoch [4/500], Step [16/45], Loss: 0.8739
Epoch [4/500], Step [17/45], Loss: 0.8739
Epoch [4/500], Step [18/45], Loss: 0.8739
Epoch [4/500], Step [19/45], Loss: 0.8739
Epoch [4/500], Step [20/45], Loss: 0.8738
Epoch [4/500], Step [21/45], Loss: 0.8738
Epoch [4/500], Step [22/45], Loss: 0.8738
Epoch [4/500], Step [23/45], Loss: 0.8738
Epoch [4/500], Step [24/45], Loss: 0.8737
Epoch [4/500], Step [25/45], Loss: 0.8737
Epoch [4/500], Step [26/45], Loss: 0.8737
Epoch [4/500], Step [27/45], Loss: 0.8736
Epoch [4/500], Step [28/45], Loss: 0.8736
